"PPFV_SD_02.22.percent_of_population_fully_vaccinated"
0.73132
1
0.696507
0.665491
0.708247
0.69381
0.264234
0.981928
1
0.648011
0.947234
0.489946
0.674684
0.785896
0.368601
0.711175
0.760679
0.609728
0.551304
0.930929
0.752208
0.62657
0.632684
1
0.839108
0.741587
0.727569
0.964448
0.825819
0.687076
0.751495
0.55246
0.857335
0.855349
0.737807
0.653816
0.856826
0.661554
0.784705
0.723044
0.655196
0.772098
0.649178
0.808304
0.699304
0.64097
0.609845
0.760055
0.660832
0.677402
0.700062
1
0.852734
0.927003
0.932797
0.01167
0.673675
0.674325
0.709959
0.673982
0.182456
0.749344
0.144737
0.056693
0.085667
0.376923
0.754007
0.982553
1
0.479208
0.54415
0.820693
0.720136
0.010169
0.715782
0.723874
0.815934
NA
0.829574
1
0.933543
0.775935
0.542443
0.388109
0.773187
0.672582
0.849418
0.617949
0.929618
0.69263
0.682138
0.751842
0.811644
0.914713
0.768668
0.609917
0.799606
0.741632
0.526533
1
0.771647
0.668794
1
0.485937
0.675283
1
0.724195
